Smiles,Title
CC(C)OC1=CC=C(CCC(NC2CC3CC3C2)C2=NN=NN2CC(C)(C)C)C=C1,m_281630____20792944____21620324____28417820
COC1=CC=CC=C1N1N=NN=C1C(NC1CC2CC2C1)C1=NNC(C2CCC2)=C1,m_281630____20792944____21622758____20773010
O=C1COC2=C(N1)C(C(NC1CC3CC3C1)C1=NN=NN1C1CCCCC1)=CC=C2,m_281630____20792944____21625042____20648564
CC1=CC=C(C(NC2CC3CC3C2)C2=NN=NN2C2CCCCCC2)C2=C1CCC2,m_281630____20792944____21627478____20772980
COC1=CC=CC(N2N=NN=C2C(NC2CC3CC3C2)C2=CC=C3ON=CC3=C2)=C1,m_281630____20792944____21629208____20773074
COC1=CC=CC=C1N1N=NN=C1C1(NC2CC3CC3C2)CCC2(CC1)CC2C#N,m_281630____20792944____27246188____20773010
COCC(NC(C1=C(C)N=CS1)C1=NN=NN1C1=CC=CC=C1)C(=O)OC(C)(C)C,m_281630____20792946____21623236____20648558
COCC(NC(C1=NN=NN1CC(=O)OC)C1C(C)(C)C1(C)C)C(=O)OC(C)(C)C,m_281630____20792946____21629434____28417840
CCC(COC(C)(C)C)(NC(C)C1OCCC2=C1C=CS2)C1=NN=NN1CCOC,m_281630____20792948____27245804____20759520
COC1=CC=C(N2N=NN=C2C(NCCSCC(C)C)C2=NC(C)=CN2C)C(C)=C1,m_281630____20792954____21619738____20614578
CC(C)CSCCNC(C1=NC=C(C2=CC=C(Br)C=C2)N1)C1=NN=NN1C(C)(C)C,m_281630____20792954____21624970____20772848
CCC(C)(C)N1N=NN=C1C1(NCCSCC(C)C)CCN(C2=CC=NC=C2)CC1,m_281630____20792954____21630068____20772906
CCCOC1=CC(CNC(C2=CC=NC(Cl)=C2F)C2=NN=NN2CCC#N)=CC=N1,m_281630____20792956____21619500____27246250
CCCOC1=CC(CNC2(C3=NN=NN3CC(=O)OC)CCC(=O)N(C)C2)=CC=N1,m_281630____20792956____21624402____28417840
CCCOC1=CC(CNC2(C3=NN=NN3CC(C)(C)C)CCC(C3CC3)C2)=CC=N1,m_281630____20792956____21629300____28417820
CC1(NC(C2=CC3=C(C=CS3)S2)C2=NN=NN2CCC2=CC(F)=CC=C2)CCOC1,m_281630____20792958____21618238____20773124
COC(=O)CN1N=NN=C1C(CCC1=CC=C2OCCOC2=C1)NC1(C)CCOC1,m_281630____20792958____21619874____28417840
CC1(NC(C2=CN(C3CCC3)C=C2)C2=NN=NN2CCN2CCOCC2)CCOC1,m_281630____20792958____21622076____20773084
CC1(NC(C)(CCCC2=CC=CN=C2)C2=NN=NN2C2=CC=C(F)C=C2)CCOC1,m_281630____20792958____21624246____20772974
CCCN1C=C(C(NC2(C)CCOC2)C2=NN=NN2C2=CC([N+](=O)[O-])=CC=C2)C=N1,m_281630____20792958____21626300____20773116
CCOC(OCC)C1=CC=C(C(NC2(C)CCOC2)C2=NN=NN2C2(C)CC2)C=C1,m_281630____20792958____21628400____20772840
CCC1=CC=CC(C)=C1N1N=NN=C1C1(NC2(C)CCOC2)CCN2CCCC1C2,m_281630____20792958____26233110____20773106
CCN1N=NN=C1C1(NC(C)C2=CC=C(N3C=CN=N3)C=C2)C[C@H](C)CC(C)(C)C1,m_281630____20792960____21618950____20648542
C=C(C)CCC(NC(C)C1=CC=C(N2C=CN=N2)C=C1)C1=NN=NN1CC(C)(C)C,m_281630____20792960____21629450____28417820
CC1=C(Cl)C=CC=C1N1N=NN=C1C1(NCCCNC(=O)C(C)C)CCC[C@@H](C)C1,m_281630____20792966____21618730____20773096
CC(C)C(=O)NCCCNC(C1=C2C=CC(Br)=CN2N=C1)C1=NN=NN1CCC#N,m_281630____20792966____21622978____27246250
COC(=O)C(C)N1N=NN=C1C(NCCCNC(=O)C(C)C)C1=CC=C(C#N)C=C1,m_281630____20792966____21626812____20772956
CC1=C(Cl)C=CC=C1N1N=NN=C1C1(NCCCNC(=O)C(C)C)CCCCC1F,m_281630____20792966____27245872____20773096
CC(C)CC1(C)CCC(NC(C)C2=CC=C(S(C)=O)C=C2)(C2=NN=NN2C2CC2)C1,m_281630____20792970____27246108____20772826
CC(C)CN1N=NN=C1C(NC1CCN(C2CC2)C1=O)C1=C2C=CC=CC2=NN1C,m_281630____20792976____21619096____27246246
CC1=C(Cl)C=CC=C1N1N=NN=C1C(C)(CSCCF)NC1CCN(C2CC2)C1=O,m_281630____20792976____21621458____20773096
CC(C)CN1N=NN=C1C(NC1CCN(C2CC2)C1=O)C1=CC=CC=C1OC(F)F,m_281630____20792976____21623470____27246246
COC1=CC=NC(C(NC2CCN(C3CC3)C2=O)C2=NN=NN2CC(C)(C)C)=C1C,m_281630____20792976____21625326____28417820
O=C1C(NC(C2=CC3=C(C=CC=C3Cl)O2)C2=NN=NN2C2CCC2)CCN1C1CC1,m_281630____20792976____21627760____20772836
CCSCCCN1N=NN=C1C1(NC2CCN(C3CC3)C2=O)CC2(CCCCO2)C1,m_281630____20792976____25333958____25335404
CCC1=CC(F)=CC(C(NC(CC)C2=C(C)ON=C2C)C2=NN=NN2CCC#N)=C1,m_281630____20792980____21617704____27246250
CCC(NC(C1=C(F)C=C(F)C=C1F)C1=NN=NN1C1(C)CC1)C1=C(C)ON=C1C,m_281630____20792980____21620544____20772840
CCCC1=CC=C(C(NC(CC)C2=C(C)ON=C2C)C2=NN=NN2CCC#N)C=C1,m_281630____20792980____21623854____27246250
CCC(NC(C1=C(C2CCC2)OC=N1)C1=NN=NN1CC1CC1)C1=C(C)ON=C1C,m_281630____20792980____21626676____20772842
CCC(NC1(C2=NN=NN2C2CCOC2)CC2(CCCOC2)C1)C1=C(C)ON=C1C,m_281630____20792980____25334020____20772870
